DateTime,State,Fuel Type,Supply
7/01/2023 0:00,QLD,Biomass,862.417
7/01/2023 0:00,QLD,Black coal,836126.53
7/01/2023 0:00,QLD,Gas,81454.044
7/01/2023 0:00,QLD,Hydro,32983.265
7/01/2023 0:00,QLD,Liquid Fuel,0
7/01/2023 0:00,QLD,Solar,90975.319
7/01/2023 0:00,QLD,Wind,31669.309
7/01/2023 0:00,SA,Battery,999.293
7/01/2023 0:00,SA,Gas,62301.472
7/01/2023 0:00,SA,Liquid Fuel,402.518
7/01/2023 0:00,SA,Solar,26513.644
7/01/2023 0:00,SA,Wind,127024.437
7/01/2023 0:00,TAS,Gas,2581.542
7/01/2023 0:00,TAS,Hydro,119384.463
7/01/2023 0:00,TAS,Wind,24140.397
7/01/2023 0:00,VIC,Battery,1314.47
7/01/2023 0:00,VIC,Brown coal,670909.369
7/01/2023 0:00,VIC,Gas,22361.615
7/01/2023 0:00,VIC,Hydro,38614.927
7/01/2023 0:00,VIC,Solar,53357.856
7/01/2023 0:00,VIC,Wind,135083.397
14/01/2023 0:00,NSW,Battery,250.51
14/01/2023 0:00,NSW,Black coal,671139.986
14/01/2023 0:00,NSW,Gas,11694.619
14/01/2023 0:00,NSW,Hydro,59299.088
14/01/2023 0:00,NSW,Liquid Fuel,0
14/01/2023 0:00,NSW,Solar,133604.267
14/01/2023 0:00,NSW,Wind,128878.467
14/01/2023 0:00,QLD,Battery,408.118
14/01/2023 0:00,QLD,Biomass,1610.1
14/01/2023 0:00,QLD,Black coal,827056.418
14/01/2023 0:00,QLD,Gas,79750.071
14/01/2023 0:00,QLD,Hydro,31372.861
14/01/2023 0:00,QLD,Liquid Fuel,0
14/01/2023 0:00,QLD,Solar,103082.961
14/01/2023 0:00,QLD,Wind,54221.26
14/01/2023 0:00,SA,Battery,1040.41
14/01/2023 0:00,SA,Gas,39947.723
14/01/2023 0:00,SA,Liquid Fuel,1359.162
14/01/2023 0:00,SA,Solar,18355.822
14/01/2023 0:00,SA,Wind,157781.523
14/01/2023 0:00,TAS,Gas,2049.104
14/01/2023 0:00,TAS,Hydro,101922.397
14/01/2023 0:00,TAS,Wind,32341.182
14/01/2023 0:00,VIC,Battery,1399.51
14/01/2023 0:00,VIC,Brown coal,598860.76
14/01/2023 0:00,VIC,Gas,11797.379
14/01/2023 0:00,VIC,Hydro,37756.51
14/01/2023 0:00,VIC,Solar,35762.393
14/01/2023 0:00,VIC,Wind,214894.921
21/01/2023 0:00,NSW,Battery,289.2
21/01/2023 0:00,NSW,Black coal,734832.749
21/01/2023 0:00,NSW,Gas,6294.08
21/01/2023 0:00,NSW,Hydro,79420.067
21/01/2023 0:00,NSW,Liquid Fuel,0
21/01/2023 0:00,NSW,Solar,145188.829
21/01/2023 0:00,NSW,Wind,80958.527
21/01/2023 0:00,QLD,Battery,845.963
21/01/2023 0:00,QLD,Biomass,1962.158
21/01/2023 0:00,QLD,Black coal,915326.936
21/01/2023 0:00,QLD,Gas,95793.856
21/01/2023 0:00,QLD,Hydro,30964.227
21/01/2023 0:00,QLD,Liquid Fuel,0
21/01/2023 0:00,QLD,Solar,124328.382
21/01/2023 0:00,QLD,Wind,33066.055
21/01/2023 0:00,SA,Battery,1033.678
21/01/2023 0:00,SA,Gas,51143.575
21/01/2023 0:00,SA,Liquid Fuel,1402.003
21/01/2023 0:00,SA,Solar,19512.498
21/01/2023 0:00,SA,Wind,125153.224
21/01/2023 0:00,TAS,Gas,677.51
21/01/2023 0:00,TAS,Hydro,118156.119
21/01/2023 0:00,TAS,Wind,23642.908
21/01/2023 0:00,VIC,Battery,1861.855
21/01/2023 0:00,VIC,Brown coal,676466.661
21/01/2023 0:00,VIC,Gas,3190.935
21/01/2023 0:00,VIC,Hydro,43960.807
21/01/2023 0:00,VIC,Solar,45011.962
21/01/2023 0:00,VIC,Wind,128612.574
28/01/2023 0:00,NSW,Battery,496.005
28/01/2023 0:00,NSW,Black coal,785055.105
28/01/2023 0:00,NSW,Gas,28725.1
28/01/2023 0:00,NSW,Hydro,93246.048
28/01/2023 0:00,NSW,Liquid Fuel,89.717
28/01/2023 0:00,NSW,Solar,121762.359
28/01/2023 0:00,NSW,Wind,109992.187
28/01/2023 0:00,QLD,Battery,742.864
28/01/2023 0:00,QLD,Biomass,1797.467
28/01/2023 0:00,QLD,Black coal,937225.661
28/01/2023 0:00,QLD,Gas,142947.759
28/01/2023 0:00,QLD,Hydro,32742.887
28/01/2023 0:00,QLD,Liquid Fuel,2257.352
28/01/2023 0:00,QLD,Solar,115760.714
28/01/2023 0:00,QLD,Wind,21635.815
28/01/2023 0:00,SA,Battery,1225.671
28/01/2023 0:00,SA,Gas,44673.899
28/01/2023 0:00,SA,Liquid Fuel,6.5
28/01/2023 0:00,SA,Solar,18158.525
28/01/2023 0:00,SA,Wind,121125.689
28/01/2023 0:00,TAS,Gas,196.865
28/01/2023 0:00,TAS,Hydro,111546.325
28/01/2023 0:00,TAS,Wind,25789.688
28/01/2023 0:00,VIC,Battery,1832.297
28/01/2023 0:00,VIC,Brown coal,660135.888
28/01/2023 0:00,VIC,Gas,112.475
28/01/2023 0:00,VIC,Hydro,27552.507
28/01/2023 0:00,VIC,Solar,34631.039
28/01/2023 0:00,VIC,Wind,200010.159
4/02/2023 0:00,NSW,Battery,289.511
4/02/2023 0:00,NSW,Black coal,798684.967
4/02/2023 0:00,NSW,Gas,436.897
4/02/2023 0:00,NSW,Hydro,35714.161
4/02/2023 0:00,NSW,Liquid Fuel,0.517
4/02/2023 0:00,NSW,Solar,155444.094
4/02/2023 0:00,NSW,Wind,105734.244
4/02/2023 0:00,QLD,Battery,909.364
4/02/2023 0:00,QLD,Biomass,511.975
4/02/2023 0:00,QLD,Black coal,906015.009
4/02/2023 0:00,QLD,Gas,75247.649
4/02/2023 0:00,QLD,Hydro,29396.259
4/02/2023 0:00,QLD,Liquid Fuel,0
4/02/2023 0:00,QLD,Solar,126312.713
4/02/2023 0:00,QLD,Wind,44466.79
4/02/2023 0:00,SA,Battery,1302.953
4/02/2023 0:00,SA,Gas,47768.446
4/02/2023 0:00,SA,Liquid Fuel,775.561
4/02/2023 0:00,SA,Solar,26393.146
4/02/2023 0:00,SA,Wind,110878.478
4/02/2023 0:00,TAS,Gas,0
4/02/2023 0:00,TAS,Hydro,115215.605
4/02/2023 0:00,TAS,Wind,22378.701
4/02/2023 0:00,VIC,Battery,2101.601
4/02/2023 0:00,VIC,Brown coal,603152.187
4/02/2023 0:00,VIC,Gas,9783.213
4/02/2023 0:00,VIC,Hydro,50658.998
4/02/2023 0:00,VIC,Solar,49357.309
4/02/2023 0:00,VIC,Wind,142939.912
11/02/2023 0:00,NSW,Battery,320.562
11/02/2023 0:00,NSW,Black coal,778048.438
11/02/2023 0:00,NSW,Gas,3621.137
11/02/2023 0:00,NSW,Hydro,36324.886
11/02/2023 0:00,NSW,Liquid Fuel,1.742
11/02/2023 0:00,NSW,Solar,154767.73
11/02/2023 0:00,NSW,Wind,101742.035
11/02/2023 0:00,QLD,Battery,716.682
11/02/2023 0:00,QLD,Biomass,421.783
11/02/2023 0:00,QLD,Black coal,936019.501
11/02/2023 0:00,QLD,Gas,86681.805
11/02/2023 0:00,QLD,Hydro,28711.688
11/02/2023 0:00,QLD,Liquid Fuel,427.432
11/02/2023 0:00,QLD,Solar,124683.625
11/02/2023 0:00,QLD,Wind,50207.805
11/02/2023 0:00,SA,Battery,1313.023
11/02/2023 0:00,SA,Gas,58433.835
11/02/2023 0:00,SA,Liquid Fuel,2165.86
11/02/2023 0:00,SA,Solar,25627.416
11/02/2023 0:00,SA,Wind,98579.808
11/02/2023 0:00,TAS,Gas,785.961
11/02/2023 0:00,TAS,Hydro,128298.275
11/02/2023 0:00,TAS,Wind,22890.182
11/02/2023 0:00,VIC,Battery,2025.183
11/02/2023 0:00,VIC,Brown coal,570609.29
11/02/2023 0:00,VIC,Gas,23022.125
11/02/2023 0:00,VIC,Hydro,51912.413
11/02/2023 0:00,VIC,Solar,44760.66
11/02/2023 0:00,VIC,Wind,200315.139
18/02/2023 0:00,NSW,Battery,125.11
18/02/2023 0:00,NSW,Black coal,731518.102
18/02/2023 0:00,NSW,Gas,3016.318
18/02/2023 0:00,NSW,Hydro,31185.445
18/02/2023 0:00,NSW,Liquid Fuel,1.75
18/02/2023 0:00,NSW,Solar,152765.719
18/02/2023 0:00,NSW,Wind,129502.678
18/02/2023 0:00,QLD,Battery,471.194
18/02/2023 0:00,QLD,Biomass,750.992
18/02/2023 0:00,QLD,Black coal,912677.959
18/02/2023 0:00,QLD,Gas,70285.26
18/02/2023 0:00,QLD,Hydro,30454.178
